Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Season
1,Jermaine O'Neal\onealje01,23,IND,52.0,52.0,126,0.413,72,37.6,19.0,10.5,1.6,0.6,2.3,0.479,0.071,0.688,6.4,0.113,2001
2,Ben Wallace\wallabe01,27,DET,16.0,16.0,126,0.127,80,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,11.6,0.19,2001
3,Steve Nash\nashst01,27,DAL,9.0,9.0,126,0.071,82,34.6,17.9,3.1,7.7,0.6,0.0,0.483,0.455,0.887,9.9,0.167,2001
4,Jerry Stackhouse\stackje01,27,DET,7.0,7.0,126,0.056,76,35.3,21.4,4.1,5.3,1.0,0.5,0.397,0.287,0.858,5.8,0.104,2001
5,Brent Barry\barrybr01,30,SEA,6.0,6.0,126,0.048,81,37.5,14.4,5.4,5.3,1.8,0.5,0.508,0.424,0.846,12.1,0.191,2001
6,Wally Szczerbiak\szczewa02,24,MIN,5.0,5.0,126,0.04,82,38.0,18.7,4.8,3.1,0.8,0.3,0.508,0.455,0.831,8.7,0.134,2001
7T,Troy Hudson\hudsotr01,25,ORL,4.0,4.0,126,0.032,81,22.9,11.7,1.8,3.1,0.7,0.1,0.434,0.353,0.876,2.5,0.064,2001
7T,Michael Olowokandi\olowomi01,26,LAC,4.0,4.0,126,0.032,80,32.1,11.1,8.9,1.1,0.7,1.8,0.433,,0.622,1.6,0.029,2001
9T,Kenyon Martin\martike01,24,NJN,3.0,3.0,126,0.024,73,34.3,14.9,5.3,2.6,1.2,1.7,0.463,0.224,0.678,4.9,0.093,2001
9T,Andre Miller\millean02,25,CLE,3.0,3.0,126,0.024,81,37.3,16.5,4.7,10.9,1.6,0.4,0.454,0.253,0.817,10.3,0.163,2001
9T,Michael Redd\reddmi01,22,MIL,3.0,3.0,126,0.024,67,21.1,11.4,3.3,1.4,0.6,0.1,0.483,0.444,0.791,4.6,0.155,2001
12T,Desmond Mason\masonde01,24,SEA,2.0,2.0,126,0.016,75,32.3,12.4,4.7,1.4,0.9,0.4,0.464,0.271,0.848,4.7,0.093,2001
12T,Gary Payton\paytoga01,33,SEA,2.0,2.0,126,0.016,82,40.3,22.1,4.8,9.0,1.6,0.3,0.467,0.314,0.797,12.6,0.183,2001
12T,Kenny Thomas\thomake01,24,HOU,2.0,2.0,126,0.016,72,34.5,14.1,7.2,1.9,1.2,0.9,0.478,0.0,0.664,4.4,0.085,2001
12T,Hedo Türkoğlu\turkohe01,22,SAC,2.0,2.0,126,0.016,80,24.6,10.1,4.5,2.0,0.7,0.4,0.422,0.368,0.726,5.2,0.127,2001
16T,Ricky Davis\davisri01,22,CLE,1.0,1.0,126,0.008,82,23.8,11.7,3.0,2.2,0.8,0.3,0.481,0.314,0.79,2.8,0.068,2001
16T,Bobby Jackson\jacksbo01,28,SAC,1.0,1.0,126,0.008,81,21.6,11.1,3.1,2.0,0.9,0.1,0.443,0.361,0.81,5.4,0.148,2001
16T,Todd MacCulloch\maccuto01,26,NJN,1.0,1.0,126,0.008,62,24.2,9.7,6.1,1.3,0.4,1.4,0.531,,0.671,5.6,0.179,2001
16T,Lee Nailon\nailole01,26,CHH,1.0,1.0,126,0.008,79,24.2,10.8,3.7,1.2,0.7,0.2,0.483,0.5,0.747,3.5,0.087,2001
16T,Wesley Person\persowe01,30,CLE,1.0,1.0,126,0.008,78,35.8,15.1,3.8,2.2,1.0,0.5,0.495,0.444,0.798,6.9,0.119,2001
16T,Jason Terry\terryja01,24,ATL,1.0,1.0,126,0.008,78,38.0,19.3,3.5,5.7,1.8,0.2,0.43,0.387,0.835,8.6,0.139,2001
1,Gilbert Arenas\arenagi01,21,GSW,41.0,288.0,590,0.488,82,35.0,18.3,4.7,6.3,1.5,0.2,0.431,0.348,0.791,6.5,0.109,2002
2,Matt Harpring\harprma01,26,UTA,29.0,234.0,590,0.397,78,32.8,17.6,6.6,1.7,0.9,0.2,0.511,0.413,0.792,8.8,0.166,2002
3,Troy Murphy\murphtr01,22,GSW,18.0,144.0,590,0.244,79,31.8,11.7,10.2,1.3,0.8,0.4,0.451,0.214,0.841,6.4,0.122,2002
4,Tony Parker\parketo01,20,SAS,14.0,143.0,590,0.242,82,33.8,15.5,2.6,5.3,0.9,0.0,0.464,0.337,0.755,7.7,0.134,2002
5,Ricky Davis\davisri01,23,CLE,2.0,43.0,590,0.073,79,39.6,20.6,4.9,5.5,1.6,0.5,0.41,0.363,0.748,3.0,0.046,2002
6,Chauncey Billups\billuch01,26,DET,3.0,42.0,590,0.071,74,31.4,16.2,3.7,3.9,0.9,0.2,0.421,0.392,0.878,9.9,0.204,2002
7,Jason Williams\willija02,27,MEM,3.0,40.0,590,0.068,76,31.7,12.1,2.8,8.3,1.2,0.1,0.388,0.354,0.84,4.7,0.094,2002
8,Richard Jefferson\jefferi01,22,NJN,2.0,23.0,590,0.039,80,36.0,15.5,6.4,2.5,1.0,0.6,0.501,0.25,0.743,9.9,0.164,2002
9,Troy Hudson\hudsotr01,26,MIN,1.0,14.0,590,0.024,79,32.9,14.2,2.3,5.7,0.8,0.1,0.428,0.365,0.9,5.1,0.094,2002
10,Corey Maggette\maggeco01,23,LAC,0.0,12.0,590,0.02,64,31.3,16.8,5.0,1.9,0.9,0.3,0.444,0.35,0.802,5.0,0.119,2002
11,Bobby Jackson\jacksbo01,29,SAC,0.0,11.0,590,0.019,59,28.4,15.2,3.7,3.1,1.2,0.1,0.464,0.379,0.846,5.5,0.157,2002
12,Michael Redd\reddmi01,23,MIL,1.0,9.0,590,0.015,82,28.2,15.1,4.5,1.4,1.2,0.2,0.469,0.438,0.805,8.0,0.167,2002
13,Metta World Peace\artesro01,23,IND,1.0,7.0,590,0.012,69,33.6,15.5,5.2,2.9,2.3,0.7,0.428,0.336,0.736,7.2,0.15,2002
14T,Andrei Kirilenko\kirilan01,21,UTA,1.0,5.0,590,0.008,80,27.7,12.0,5.3,1.7,1.5,2.2,0.491,0.325,0.8,9.2,0.199,2002
14T,Dirk Nowitzki\nowitdi01,24,DAL,1.0,5.0,590,0.008,80,39.0,25.1,9.9,3.0,1.4,1.0,0.463,0.379,0.881,16.1,0.249,2002
14T,Jermaine O'Neal\onealje01,24,IND,1.0,5.0,590,0.008,77,37.2,20.8,10.3,2.0,0.9,2.3,0.484,0.333,0.731,10.5,0.177,2002
14T,Stephon Marbury\marbust01,25,PHO,0.0,5.0,590,0.008,81,40.0,22.3,3.2,8.1,1.3,0.2,0.439,0.301,0.803,9.6,0.142,2002
18T,Stephen Jackson\jacksst02,24,SAS,0.0,4.0,590,0.007,80,28.2,11.8,3.6,2.3,1.6,0.4,0.435,0.32,0.76,4.8,0.102,2002
18T,Tracy McGrady\mcgratr01,23,ORL,0.0,4.0,590,0.007,75,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262,2002
18T,Brad Miller\millebr01,26,IND,0.0,4.0,590,0.007,73,31.1,13.1,8.3,2.6,0.9,0.6,0.493,0.313,0.818,9.6,0.202,2002
21T,Brent Barry\barrybr01,31,SEA,0.0,3.0,590,0.005,75,33.1,10.3,4.0,5.1,1.5,0.2,0.458,0.403,0.795,7.3,0.141,2002
21T,Kevin Garnett\garneke01,26,MIN,0.0,3.0,590,0.005,82,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.751,15.6,0.225,2002
21T,Zydrunas Ilgauskas\ilgauzy01,27,CLE,0.0,3.0,590,0.005,81,30.0,17.2,7.5,1.6,0.7,1.9,0.441,0.0,0.781,5.0,0.099,2002
21T,Eric Snow\snower01,29,PHI,0.0,3.0,590,0.005,82,37.9,12.9,3.7,6.6,1.6,0.1,0.452,0.219,0.858,8.4,0.13,2002
25,Earl Boykins\boykiea01,26,GSW,0.0,2.0,590,0.003,68,19.4,8.8,1.3,3.3,0.6,0.1,0.429,0.377,0.865,3.5,0.127,2002
26T,Dion Glover\glovedi01,24,ATL,0.0,1.0,590,0.002,76,24.9,9.7,3.7,1.9,0.9,0.2,0.427,0.354,0.784,2.6,0.065,2002
26T,Anfernee Hardaway\hardaan01,31,PHO,0.0,1.0,590,0.002,58,30.6,10.6,4.4,4.1,1.1,0.4,0.447,0.356,0.794,2.3,0.062,2002
26T,Antawn Jamison\jamisan01,26,GSW,0.0,1.0,590,0.002,82,39.3,22.2,7.0,1.9,0.9,0.5,0.47,0.311,0.789,8.5,0.126,2002
26T,Steve Nash\nashst01,28,DAL,0.0,1.0,590,0.002,82,33.1,17.7,2.9,7.3,1.0,0.1,0.465,0.413,0.909,11.6,0.206,2002
26T,Rasho Nesterović\nestera01,26,MIN,0.0,1.0,590,0.002,77,30.4,11.2,6.5,1.5,0.5,1.5,0.525,0.0,0.642,5.2,0.107,2002
26T,Stromile Swift\swiftst01,23,MEM,0.0,1.0,590,0.002,67,22.1,9.7,5.7,0.7,0.8,1.6,0.481,0.0,0.722,3.3,0.108,2002
1,Zach Randolph\randoza01,22,POR,59.0,379.0,605,0.626,81,37.9,20.1,10.5,2.0,0.8,0.5,0.485,0.2,0.761,7.1,0.111,2003
2,Carlos Boozer\boozeca01,22,CLE,12.0,166.0,605,0.274,75,34.6,15.5,11.4,2.0,1.0,0.7,0.523,0.167,0.768,9.4,0.174,2003
3,James Posey\poseyja01,27,MEM,17.0,137.0,605,0.226,82,29.9,13.7,4.9,1.5,1.7,0.5,0.478,0.386,0.83,10.0,0.195,2003
4,Andrei Kirilenko\kirilan01,22,UTA,11.0,101.0,605,0.167,78,37.1,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192,2003
5,Michael Redd\reddmi01,24,MIL,9.0,95.0,605,0.157,82,36.8,21.7,5.0,2.3,1.0,0.1,0.44,0.35,0.868,9.7,0.154,2003
6,Lamar Odom\odomla01,24,MIA,1.0,31.0,605,0.051,80,37.5,17.1,9.7,4.1,1.1,0.9,0.43,0.298,0.742,8.4,0.134,2003
7,Jamaal Magloire\magloja01,25,NOH,3.0,26.0,605,0.043,82,33.9,13.6,10.3,1.0,0.5,1.2,0.473,0.0,0.751,7.6,0.131,2003
8,Samuel Dalembert\dalemsa01,22,PHI,3.0,25.0,605,0.041,82,26.8,8.0,7.6,0.3,0.5,2.3,0.541,0.0,0.644,6.9,0.151,2003
9,Joe Johnson\johnsjo02,22,PHO,1.0,20.0,605,0.033,82,40.6,16.7,4.7,4.4,1.1,0.3,0.43,0.305,0.75,3.3,0.047,2003
10,Brian Cardinal\cardibr01,26,GSW,1.0,18.0,605,0.03,76,21.5,9.6,4.2,1.4,0.9,0.3,0.472,0.444,0.878,7.2,0.212,2003
11,Rafer Alston\alstora01,27,MIA,2.0,16.0,605,0.026,82,31.5,10.2,2.8,4.5,1.4,0.2,0.376,0.371,0.769,5.9,0.11,2003
12,Mark Blount\blounma01,28,BOS,0.0,10.0,605,0.017,82,29.3,10.3,7.2,0.9,1.0,1.3,0.566,,0.719,6.5,0.131,2003
13T,Quentin Richardson\richaqu01,23,LAC,1.0,8.0,605,0.013,65,36.0,17.2,6.4,2.1,1.0,0.3,0.398,0.352,0.74,2.4,0.05,2003
13T,Carlos Arroyo\arroyca01,24,UTA,0.0,8.0,605,0.013,71,28.3,12.6,2.6,5.0,0.9,0.1,0.441,0.325,0.804,4.7,0.112,2003
15T,Metta World Peace\artesro01,24,IND,1.0,7.0,605,0.012,73,37.2,18.3,5.3,3.7,2.1,0.7,0.421,0.31,0.733,8.0,0.141,2003
15T,Yao Ming\mingya01,23,HOU,0.0,7.0,605,0.012,82,32.8,17.5,9.0,1.5,0.3,1.9,0.522,0.0,0.809,11.4,0.202,2003
15T,Ronald Murray\murraro01,24,SEA,0.0,7.0,605,0.012,82,24.6,12.4,2.5,2.5,1.0,0.3,0.425,0.293,0.715,1.7,0.04,2003
18,Erick Dampier\dampier01,28,GSW,0.0,5.0,605,0.008,74,32.5,12.3,12.0,0.8,0.4,1.9,0.535,0.0,0.654,8.9,0.178,2003
19,Richard Jefferson\jefferi01,23,NJN,0.0,4.0,605,0.007,82,38.2,18.5,5.7,3.8,1.1,0.3,0.498,0.364,0.763,11.0,0.168,2003
20T,Mike Dunleavy\dunlemi02,23,GSW,0.0,3.0,605,0.005,75,31.1,11.7,5.9,2.9,0.9,0.2,0.449,0.37,0.741,5.2,0.107,2003
20T,Manu Ginóbili\ginobma01,26,SAS,0.0,3.0,605,0.005,77,29.4,12.8,4.5,3.8,1.8,0.2,0.418,0.359,0.802,9.1,0.194,2003
20T,Corey Maggette\maggeco01,24,LAC,0.0,3.0,605,0.005,73,36.0,20.7,5.9,3.1,0.9,0.2,0.447,0.329,0.848,8.6,0.157,2003
23,Tayshaun Prince\princta01,23,DET,0.0,2.0,605,0.003,82,32.9,10.3,4.8,2.3,0.8,0.8,0.467,0.363,0.766,7.5,0.134,2003
24T,Raja Bell\bellra01,27,UTA,0.0,1.0,605,0.002,82,24.6,11.2,2.9,1.3,0.8,0.2,0.409,0.373,0.786,3.7,0.088,2003
24T,Marcus Camby\cambyma01,29,DEN,0.0,1.0,605,0.002,72,30.0,8.6,10.1,1.8,1.2,2.6,0.477,0.0,0.721,6.9,0.154,2003
24T,Pau Gasol\gasolpa01,23,MEM,0.0,1.0,605,0.002,78,31.5,17.7,7.7,2.5,0.6,1.7,0.482,0.267,0.714,8.1,0.159,2003
24T,Nenê Hilário\hilarne01,21,DEN,0.0,1.0,605,0.002,77,32.5,11.8,6.5,2.2,1.5,0.5,0.53,0.0,0.682,6.1,0.117,2003
24T,Stephen Jackson\jacksst02,25,ATL,0.0,1.0,605,0.002,80,36.8,18.1,4.6,3.1,1.8,0.3,0.425,0.34,0.785,4.4,0.072,2003
24T,Desmond Mason\masonde01,26,MIL,0.0,1.0,605,0.002,82,30.9,14.4,4.4,1.9,0.7,0.3,0.472,0.231,0.769,5.7,0.107,2003
24T,Kenny Thomas\thomake01,26,PHI,0.0,1.0,605,0.002,74,36.5,13.6,10.1,1.5,1.1,0.4,0.469,0.2,0.752,6.6,0.118,2003
24T,Jason Williams\willija02,28,MEM,0.0,1.0,605,0.002,72,29.4,10.9,2.0,6.8,1.3,0.1,0.407,0.33,0.837,5.4,0.122,2003
1,Bobby Simmons\simmobo01,24,LAC,59.0,384.0,615,0.624,75,37.3,16.4,5.9,2.7,1.4,0.2,0.466,0.435,0.846,6.8,0.117,2004
2,Dwyane Wade\wadedw01,23,MIA,15.0,129.0,615,0.21,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177,2004
3,Tayshaun Prince\princta01,24,DET,14.0,107.0,615,0.174,82,37.1,14.7,5.3,3.0,0.7,0.9,0.487,0.341,0.807,9.4,0.149,2004
4,Primož Brezec\brezepr01,25,CHA,5.0,75.0,615,0.122,72,31.6,13.0,7.4,1.2,0.5,0.8,0.512,,0.745,4.9,0.104,2004
5,Dan Dickau\dickada01,26,TOT,5.0,68.0,615,0.111,71,29.4,12.5,2.5,4.9,1.1,0.1,0.405,0.347,0.833,3.5,0.079,2004
6,LeBron James\jamesle01,20,CLE,4.0,57.0,615,0.093,80,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203,2004
7,Amar'e Stoudemire\stoudam01,22,PHO,5.0,46.0,615,0.075,80,36.1,26.0,8.9,1.6,1.0,1.6,0.559,0.188,0.733,14.6,0.243,2004
8T,Larry Hughes\hughela01,26,WAS,1.0,28.0,615,0.046,61,38.7,22.0,6.3,4.7,2.9,0.3,0.43,0.282,0.777,7.7,0.157,2004
8T,Joel Przybilla\przybjo01,25,POR,1.0,28.0,615,0.046,76,24.4,6.4,7.7,1.0,0.3,2.1,0.598,,0.517,4.7,0.121,2004
10,Chris Bosh\boshch01,20,TOR,1.0,21.0,615,0.034,81,37.2,16.8,8.9,1.9,0.9,1.4,0.471,0.3,0.76,6.8,0.108,2004
11,Grant Hill\hillgr01,32,ORL,2.0,17.0,615,0.028,67,34.9,19.7,4.7,3.3,1.4,0.4,0.509,0.231,0.821,6.6,0.136,2004
12,Udonis Haslem\hasleud01,24,MIA,1.0,16.0,615,0.026,80,33.4,10.9,9.1,1.4,0.8,0.5,0.54,0.0,0.791,9.2,0.165,2004
13T,Damon Jones\jonesda01,28,MIA,2.0,14.0,615,0.023,82,31.4,11.6,2.8,4.3,0.5,0.1,0.456,0.432,0.791,8.7,0.162,2004
13T,Luke Ridnour\ridnolu01,23,SEA,1.0,14.0,615,0.023,82,31.4,10.0,2.5,5.9,1.1,0.3,0.405,0.376,0.883,5.4,0.1,2004
15,Gilbert Arenas\arenagi01,23,WAS,1.0,13.0,615,0.021,80,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.814,11.5,0.169,2004
16,Kirk Hinrich\hinriki01,24,CHI,1.0,12.0,615,0.02,77,36.4,15.7,3.9,6.4,1.6,0.3,0.397,0.355,0.792,7.2,0.124,2004
17,Kyle Korver\korveky01,23,PHI,0.0,9.0,615,0.015,82,32.5,11.5,4.6,2.2,1.3,0.4,0.418,0.405,0.854,6.6,0.119,2004
18,Tyson Chandler\chandty01,22,CHI,0.0,8.0,615,0.013,80,27.4,8.0,9.7,0.8,0.9,1.8,0.494,0.0,0.673,8.3,0.183,2004
19,Josh Howard\howarjo01,24,DAL,1.0,7.0,615,0.011,76,32.2,12.6,6.4,1.4,1.5,0.6,0.475,0.296,0.733,6.4,0.126,2004
20T,Vince Carter\cartevi01,28,TOT,1.0,6.0,615,0.01,77,36.7,24.5,5.2,4.2,1.4,0.6,0.452,0.406,0.798,9.4,0.159,2004
20T,Joe Johnson\johnsjo02,23,PHO,0.0,6.0,615,0.01,82,39.5,17.1,5.1,3.5,1.0,0.3,0.461,0.478,0.75,7.6,0.112,2004
22T,Shawn Marion\mariosh01,26,PHO,1.0,5.0,615,0.008,81,38.8,19.4,11.3,1.9,2.0,1.5,0.476,0.334,0.833,12.5,0.191,2004
22T,Dirk Nowitzki\nowitdi01,26,DAL,1.0,5.0,615,0.008,78,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248,2004
22T,Shaquille O'Neal\onealsh01,32,MIA,1.0,5.0,615,0.008,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,,0.461,11.0,0.211,2004
22T,Eddy Curry\curryed01,22,CHI,0.0,5.0,615,0.008,63,28.7,16.1,5.4,0.6,0.3,0.9,0.538,,0.72,4.3,0.115,2004
26T,Reggie Evans\evansre01,24,SEA,0.0,3.0,615,0.005,79,23.8,4.9,9.3,0.7,0.7,0.2,0.476,0.0,0.534,3.8,0.096,2004
26T,Fred Jones\jonesfr01,25,IND,0.0,3.0,615,0.005,77,29.5,10.6,3.1,2.5,0.8,0.4,0.425,0.38,0.85,4.8,0.102,2004
26T,Brevin Knight\knighbr01,29,CHA,0.0,3.0,615,0.005,66,29.5,10.1,2.6,9.0,2.0,0.1,0.422,0.15,0.852,4.5,0.11,2004
26T,Jason Richardson\richaja01,24,GSW,0.0,3.0,615,0.005,72,37.8,21.7,5.9,3.9,1.5,0.4,0.446,0.338,0.693,5.7,0.1,2004
26T,Gerald Wallace\wallage01,22,CHA,0.0,3.0,615,0.005,70,30.7,11.1,5.5,2.0,1.7,1.3,0.449,0.274,0.661,2.4,0.055,2004
31,Drew Gooden\goodedr01,23,CLE,0.0,2.0,615,0.003,82,30.8,14.4,9.2,1.6,0.9,0.9,0.492,0.179,0.81,8.5,0.163,2004
32T,Ricky Davis\davisri01,25,BOS,0.0,1.0,615,0.002,82,32.9,16.0,3.0,3.0,1.1,0.3,0.462,0.339,0.815,4.2,0.074,2004
32T,Anthony Johnson\johnsan02,30,IND,0.0,1.0,615,0.002,63,27.7,8.4,2.8,4.8,0.9,0.2,0.445,0.38,0.752,4.0,0.11,2004
32T,Rashard Lewis\lewisra02,25,SEA,0.0,1.0,615,0.002,71,38.0,20.5,5.5,1.3,1.1,0.9,0.462,0.4,0.777,8.4,0.15,2004
32T,Tony Parker\parketo01,22,SAS,0.0,1.0,615,0.002,80,34.2,16.6,3.7,6.1,1.2,0.1,0.482,0.276,0.65,8.1,0.141,2004
32T,Mickaël Piétrus\pietrmi01,22,GSW,0.0,1.0,615,0.002,67,20.0,9.5,2.8,1.2,0.7,0.3,0.427,0.344,0.698,2.1,0.075,2004
1,Boris Diaw\diawbo01,23,PHO,80.0,489.0,630,0.776,81,35.5,13.3,6.9,6.2,0.7,1.0,0.526,0.267,0.731,8.9,0.149,2005
2,David West\westda01,25,NOK,22.0,283.0,630,0.449,74,34.1,17.1,7.4,1.2,0.8,0.9,0.512,0.273,0.843,7.4,0.141,2005
3,Nenad Krstić\krstine01,22,NJN,4.0,65.0,630,0.103,80,30.9,13.5,6.4,1.1,0.4,0.8,0.507,0.25,0.698,5.4,0.105,2005
4,Gerald Wallace\wallage01,23,CHA,3.0,46.0,630,0.073,55,34.5,15.2,7.5,1.7,2.5,2.1,0.538,0.28,0.614,6.4,0.163,2005
5,Chris Bosh\boshch01,21,TOR,3.0,43.0,630,0.068,70,39.3,22.5,9.2,2.6,0.7,1.1,0.505,0.0,0.816,9.8,0.17,2005
6T,Andrés Nocioni\nocioan01,26,CHI,4.0,29.0,630,0.046,82,27.3,13.0,6.1,1.4,0.5,0.6,0.461,0.391,0.843,6.7,0.144,2005
6T,Tony Parker\parketo01,23,SAS,3.0,29.0,630,0.046,80,33.9,18.9,3.3,5.8,1.0,0.1,0.548,0.306,0.707,9.6,0.169,2005
8,Mike James\jamesmi01,30,TOR,1.0,21.0,630,0.033,79,37.0,20.3,3.3,5.8,0.9,0.0,0.469,0.442,0.837,7.6,0.125,2005
9,Carmelo Anthony\anthoca01,21,DEN,2.0,19.0,630,0.03,80,36.8,26.5,4.9,2.7,1.1,0.5,0.481,0.243,0.808,9.4,0.153,2005
10,Jameer Nelson\nelsoja01,23,ORL,1.0,18.0,630,0.029,62,28.8,14.6,2.9,4.9,1.1,0.1,0.483,0.424,0.779,4.9,0.132,2005
11T,Yao Ming\mingya01,25,HOU,2.0,14.0,630,0.022,57,34.2,22.3,10.2,1.5,0.5,1.6,0.519,0.0,0.853,8.6,0.211,2005
11T,Chris Kaman\kamanch01,23,LAC,0.0,14.0,630,0.022,78,32.8,11.9,9.6,1.0,0.6,1.4,0.523,0.0,0.77,6.1,0.114,2005
13,Elton Brand\brandel01,26,LAC,0.0,10.0,630,0.016,79,39.2,24.7,10.0,2.6,1.0,2.5,0.527,0.333,0.775,14.8,0.229,2005
14T,DeSagana Diop\diopde01,24,DAL,1.0,8.0,630,0.013,81,18.6,2.3,4.6,0.3,0.5,1.8,0.487,0.5,0.542,4.1,0.13,2005
14T,Smush Parker\parkesm01,24,LAL,0.0,8.0,630,0.013,82,33.8,11.5,3.3,3.7,1.7,0.2,0.447,0.366,0.694,5.8,0.1,2005
16T,Pau Gasol\gasolpa01,25,MEM,0.0,6.0,630,0.01,80,39.2,20.4,8.9,4.6,0.6,1.9,0.503,0.25,0.689,12.0,0.184,2005
16T,Mehmet Okur\okurme01,26,UTA,0.0,6.0,630,0.01,82,35.9,18.0,9.1,2.4,0.5,0.9,0.46,0.342,0.78,9.3,0.152,2005
18,Dwight Howard\howardw01,20,ORL,0.0,5.0,630,0.008,82,36.8,15.8,12.5,1.5,0.8,1.4,0.531,0.0,0.595,8.6,0.137,2005
19T,Caron Butler\butleca01,25,WAS,0.0,4.0,630,0.006,75,36.1,17.6,6.2,2.5,1.7,0.2,0.455,0.342,0.87,6.3,0.112,2005
19T,LeBron James\jamesle01,21,CLE,0.0,4.0,630,0.006,79,42.5,31.4,7.0,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232,2005
21T,Kevin Martin\martike02,22,SAC,0.0,2.0,630,0.003,72,26.6,10.8,3.6,1.3,0.8,0.1,0.48,0.369,0.847,5.5,0.137,2005
21T,Zaza Pachulia\pachuza01,21,ATL,0.0,2.0,630,0.003,78,31.4,11.7,7.9,1.7,1.1,0.5,0.451,0.0,0.735,3.9,0.077,2005
23T,Raja Bell\bellra01,29,PHO,0.0,1.0,630,0.002,79,37.5,14.7,3.2,2.6,1.0,0.3,0.457,0.442,0.788,6.8,0.11,2005
23T,Kobe Bryant\bryanko01,27,LAL,0.0,1.0,630,0.002,80,41.0,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224,2005
23T,Luol Deng\denglu01,20,CHI,0.0,1.0,630,0.002,78,33.4,14.3,6.6,1.9,0.9,0.6,0.463,0.269,0.75,6.5,0.12,2005
23T,Matt Harpring\harprma01,29,UTA,0.0,1.0,630,0.002,71,27.4,12.5,5.2,1.4,0.8,0.2,0.475,0.359,0.725,4.7,0.115,2005
23T,Paul Pierce\piercpa01,28,BOS,0.0,1.0,630,0.002,79,39.0,26.8,6.7,4.7,1.4,0.4,0.471,0.354,0.772,11.5,0.178,2005
23T,Bobby Simmons\simmobo01,25,MIL,0.0,1.0,630,0.002,75,33.8,13.4,4.4,2.3,1.1,0.3,0.453,0.42,0.825,5.3,0.101,2005
23T,Josh Smith\smithjo03,20,ATL,0.0,1.0,630,0.002,80,32.0,11.3,6.6,2.4,0.8,2.6,0.425,0.309,0.719,3.6,0.067,2005
23T,Chris Wilcox\wilcoch01,23,TOT,0.0,1.0,630,0.002,77,19.9,8.1,5.3,0.7,0.4,0.4,0.571,0.0,0.732,4.4,0.138,2005
23T,Mo Williams\willima01,23,MIL,0.0,1.0,630,0.002,58,26.4,12.1,2.5,4.0,0.9,0.1,0.424,0.382,0.85,2.5,0.079,2005
1,Monta Ellis\ellismo01,21,GSW,47.0,352.0,645,0.546,77,34.3,16.5,3.2,4.1,1.7,0.3,0.475,0.273,0.763,4.0,0.072,2006
2,Kevin Martin\martike02,23,SAC,44.0,349.0,645,0.541,80,35.2,20.2,4.3,2.2,1.2,0.1,0.473,0.381,0.844,10.2,0.173,2006
3,Deron Williams\willide01,22,UTA,13.0,101.0,645,0.157,80,36.9,16.2,3.3,9.3,1.0,0.2,0.456,0.322,0.767,7.2,0.117,2006
4,Tyson Chandler\chandty01,24,NOK,6.0,72.0,645,0.112,73,34.6,9.5,12.4,0.9,0.5,1.8,0.624,0.0,0.527,7.9,0.15,2006
